"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 13 11:18:19 GMT 2021","Tue Apr 13 11:18:20 GMT 2021","645","","","","","","Send request for getting articles #2",""
"passed","Tue Apr 13 11:18:15 GMT 2021","Tue Apr 13 11:18:19 GMT 2021","4562","","","","","","Send request for getting articles #1",""
"passed","Tue Apr 13 11:18:20 GMT 2021","Tue Apr 13 11:18:20 GMT 2021","249","","","","","","Send request for getting articles #3",""
